Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
50,Techcorp,Social Media,Women 25-34,45 Days,Email,0.11,7521,3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,2021-02-19
51,Nexgen Systems,Search,Men 25-34,60 Days,Facebook,0.12,10405,5.79,Los Angeles,French,134,8463,9,Foodies,2021-02-20
52,Nexgen Systems,Search,Men 25-34,15 Days,Website,0.1,15955,6.48,Houston,French,657,9831,7,Foodies,2021-02-21
53,Techcorp,Email,Men 18-24,30 Days,Facebook,0.13,15428,7.62,Houston,French,385,4937,6,Tech Enthusiasts,2021-02-22
54,Nexgen Systems,Display,Women 35-44,45 Days,Youtube,0.02,19832,3.35,New York,English,537,4739,9,Outdoor Adventurers,2021-02-23
55,Nexgen Systems,Social Media,Men 18-24,30 Days,Youtube,0.05,17375,6.15,Miami,Spanish,450,6012,7,Foodies,2021-02-24
56,Nexgen Systems,Display,Men 25-34,15 Days,Website,0.13,8903,3.7,Miami,English,178,8529,9,Health & Wellness,2021-02-25
57,Nexgen Systems,Email,Women 35-44,15 Days,Website,0.04,14511,6.66,Chicago,English,164,2122,8,Foodies,2021-02-26
58,Innovate Industries,Email,Men 18-24,60 Days,Email,0.06,17305,2.7,New York,French,569,1850,2,Fashionistas,2021-02-27
59,Alpha Innovations,Email,Women 25-34,45 Days,Email,0.04,18063,4.93,Chicago,English,330,6920,6,Foodies,2021-02-28
60,Innovate Industries,Display,Men 25-34,15 Days,Email,0.05,10293,6.8,Miami,French,256,3421,9,Health & Wellness,2021-03-01
61,Datatech Solutions,Email,Men 25-34,45 Days,Email,0.05,8785,2.27,New York,German,849,9217,5,Fashionistas,2021-03-02
62,Techcorp,Email,Men 25-34,30 Days,Email,0.09,13848,5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,2021-03-03
63,Innovate Industries,Influencer,Women 35-44,60 Days,Email,0.01,14435,7.04,Houston,Mandarin,592,3596,4,Foodies,2021-03-04
64,Nexgen Systems,Search,Men 18-24,30 Days,Facebook,0.02,14001,3.71,Chicago,English,201,8702,10,Outdoor Adventurers,2021-03-05
65,Datatech Solutions,Display,All Ages,45 Days,Website,0.11,8841,7.43,Houston,French,648,9122,9,Fashionistas,2021-03-06
66,Nexgen Systems,Search,All Ages,60 Days,Youtube,0.04,11366,7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,2021-03-07
67,Alpha Innovations,Display,Women 25-34,30 Days,Youtube,0.07,12910,6.33,Miami,Spanish,839,5569,7,Foodies,2021-03-08
68,Techcorp,Search,Women 25-34,60 Days,Youtube,0.12,7823,2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,2021-03-09
69,Techcorp,Display,All Ages,15 Days,Facebook,0.03,11864,7.98,Chicago,French,932,9973,9,Tech Enthusiasts,2021-03-10
70,Innovate Industries,Email,All Ages,15 Days,Facebook,0.1,17414,4.74,Los Angeles,German,694,2836,2,Foodies,2021-03-11
71,Alpha Innovations,Search,Men 25-34,30 Days,Website,0.13,18201,5.58,New York,German,202,6745,8,Tech Enthusiasts,2021-03-12
72,Alpha Innovations,Social Media,All Ages,15 Days,Email,0.03,9549,5.61,Chicago,French,416,9187,7,Health & Wellness,2021-03-13
73,Techcorp,Social Media,Women 35-44,15 Days,Youtube,0.13,16635,7.46,Miami,English,576,9999,10,Health & Wellness,2021-03-14
74,Nexgen Systems,Influencer,All Ages,45 Days,Facebook,0.1,9310,5.63,New York,German,300,3687,9,Foodies,2021-03-15
75,Nexgen Systems,Display,All Ages,15 Days,Youtube,0.11,5158,6.67,Chicago,German,776,4238,3,Health & Wellness,2021-03-16
76,Innovate Industries,Search,Men 25-34,30 Days,Instagram,0.04,15182,2.03,Houston,English,492,7364,2,Fashionistas,2021-03-17
77,Innovate Industries,Display,Men 18-24,45 Days,Google Ads,0.08,5703,3.23,Chicago,German,763,8501,10,Foodies,2021-03-18
78,Innovate Industries,Search,Women 35-44,60 Days,Google Ads,0.02,12008,4.82,Miami,Spanish,817,7892,2,Health & Wellness,2021-03-19
79,Nexgen Systems,Display,Women 35-44,45 Days,Google Ads,0.13,15850,7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,2021-03-20
80,Alpha Innovations,Influencer,Women 25-34,30 Days,Email,0.1,9813,6.57,Miami,French,737,9941,6,Fashionistas,2021-03-21
81,Innovate Industries,Influencer,Women 35-44,60 Days,Google Ads,0.14,19300,7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,2021-03-22
82,Nexgen Systems,Social Media,Women 25-34,45 Days,Youtube,0.12,17772,6.33,New York,English,913,1921,5,Foodies,2021-03-23
83,Innovate Industries,Influencer,Women 25-34,60 Days,Facebook,0.1,17293,3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,2021-03-24
84,Nexgen Systems,Search,All Ages,60 Days,Youtube,0.08,8398,3.99,Miami,English,134,3108,1,Health & Wellness,2021-03-25
85,Alpha Innovations,Influencer,Women 35-44,60 Days,Email,0.15,15866,2.3,Houston,French,159,2139,10,Health & Wellness,2021-03-26
86,Techcorp,Social Media,All Ages,30 Days,Youtube,0.13,7515,7.38,Houston,Mandarin,635,8489,3,Foodies,2021-03-27
87,Datatech Solutions,Email,Women 25-34,15 Days,Youtube,0.15,19026,2.22,Miami,Mandarin,187,2573,10,Fashionistas,2021-03-28
88,Techcorp,Search,Men 18-24,60 Days,Facebook,0.14,8280,7.89,New York,German,537,3042,1,Outdoor Adventurers,2021-03-29
89,Alpha Innovations,Display,Women 25-34,30 Days,Google Ads,0.1,18251,4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,2021-03-30
90,Datatech Solutions,Display,All Ages,15 Days,Instagram,0.07,13108,2.01,Houston,German,550,3839,7,Tech Enthusiasts,2021-03-31
91,Nexgen Systems,Influencer,Women 35-44,15 Days,Youtube,0.09,15477,6.98,Houston,English,956,9087,3,Foodies,2021-04-01
92,Techcorp,Email,Men 25-34,45 Days,Email,0.09,17705,7.0,New York,Spanish,628,9545,4,Outdoor Adventurers,2021-04-02
93,Innovate Industries,Display,Women 35-44,15 Days,Instagram,0.05,18470,2.57,Chicago,English,938,7879,10,Fashionistas,2021-04-03
94,Nexgen Systems,Display,Men 25-34,45 Days,Instagram,0.01,14438,7.19,New York,French,147,6497,10,Health & Wellness,2021-04-04
95,Nexgen Systems,Search,Men 18-24,45 Days,Facebook,0.08,6278,4.93,Miami,German,776,4289,8,Foodies,2021-04-05
96,Techcorp,Social Media,All Ages,15 Days,Email,0.08,5185,4.61,New York,French,108,9532,1,Tech Enthusiasts,2021-04-06
97,Innovate Industries,Email,Women 25-34,15 Days,Instagram,0.14,18799,3.69,Miami,French,395,6079,8,Health & Wellness,2021-04-07
98,Alpha Innovations,Search,All Ages,60 Days,Facebook,0.04,7365,7.96,New York,French,419,4484,1,Fashionistas,2021-04-08
99,Alpha Innovations,Search,All Ages,60 Days,Instagram,0.02,6565,3.12,New York,French,463,6061,8,Foodies,2021-04-09
100,Techcorp,Display,All Ages,60 Days,Facebook,0.09,9022,5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,2021-04-10
101,Nexgen Systems,Search,Men 25-34,45 Days,Youtube,0.07,18735,4.86,Los Angeles,Spanish,706,8715,6,Foodies,2021-04-11
102,Techcorp,Search,Men 18-24,45 Days,Youtube,0.09,9941,4.54,Chicago,English,207,8334,4,Tech Enthusiasts,2021-04-12
103,Datatech Solutions,Influencer,Men 18-24,60 Days,Website,0.08,10113,6.87,Houston,English,583,1005,3,Health & Wellness,2021-04-13
104,Datatech Solutions,Social Media,Men 18-24,15 Days,Facebook,0.1,8310,7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,2021-04-14
105,Datatech Solutions,Influencer,Men 18-24,30 Days,Google Ads,0.06,15073,2.17,Los Angeles,English,387,8035,2,Health & Wellness,2021-04-15
106,Innovate Industries,Social Media,Women 25-34,30 Days,Email,0.09,7541,3.35,Chicago,Spanish,560,3439,7,Fashionistas,2021-04-16
107,Techcorp,Influencer,Men 25-34,45 Days,Google Ads,0.11,14875,6.5,New York,German,306,1560,3,Health & Wellness,2021-04-17
108,Techcorp,Email,All Ages,45 Days,Email,0.06,5514,7.32,Miami,German,740,4550,1,Outdoor Adventurers,2021-04-18
109,Innovate Industries,Search,Men 25-34,30 Days,Instagram,0.05,15107,4.79,Houston,Spanish,115,1475,10,Fashionistas,2021-04-19
110,Innovate Industries,Social Media,Women 25-34,15 Days,Youtube,0.1,13712,6.4,Chicago,English,366,3843,3,Fashionistas,2021-04-20
111,Alpha Innovations,Influencer,All Ages,60 Days,Facebook,0.05,11789,5.39,Houston,German,659,3670,9,Outdoor Adventurers,2021-04-21
112,Datatech Solutions,Email,All Ages,30 Days,Website,0.13,18335,7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,2021-04-22
113,Techcorp,Display,Women 35-44,30 Days,Google Ads,0.02,19035,2.01,Miami,Mandarin,560,6945,7,Health & Wellness,2021-04-23
114,Datatech Solutions,Email,Women 25-34,15 Days,Youtube,0.11,17655,4.04,Los Angeles,English,369,8912,4,Health & Wellness,2021-04-24
115,Nexgen Systems,Email,Women 25-34,45 Days,Google Ads,0.11,6710,2.72,Houston,German,886,6158,7,Fashionistas,2021-04-25
116,Nexgen Systems,Social Media,Women 25-34,15 Days,Facebook,0.09,9899,3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,2021-04-26
117,Innovate Industries,Email,All Ages,30 Days,Instagram,0.14,7032,7.86,Chicago,Spanish,595,1555,4,Health & Wellness,2021-04-27
118,Techcorp,Social Media,All Ages,45 Days,Website,0.05,5174,4.98,Houston,German,438,9741,1,Tech Enthusiasts,2021-04-28
119,Innovate Industries,Display,Women 35-44,15 Days,Youtube,0.14,15679,3.71,Los Angeles,German,652,3884,7,Foodies,2021-04-29
120,Nexgen Systems,Display,All Ages,45 Days,Youtube,0.07,12143,7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,2021-04-30
121,Innovate Industries,Email,Women 35-44,45 Days,Facebook,0.02,19329,7.58,Houston,English,841,4536,8,Outdoor Adventurers,2021-05-01
122,Innovate Industries,Search,All Ages,60 Days,Email,0.09,8854,6.78,Chicago,German,137,4002,6,Tech Enthusiasts,2021-05-02
123,Alpha Innovations,Influencer,Women 35-44,45 Days,Youtube,0.04,5232,7.61,New York,German,850,6515,5,Foodies,2021-05-03
124,Nexgen Systems,Display,Men 25-34,30 Days,Instagram,0.02,13006,3.7,Chicago,Spanish,727,2863,1,Fashionistas,2021-05-04
125,Datatech Solutions,Email,Men 18-24,45 Days,Website,0.13,5653,6.08,Chicago,Mandarin,986,4477,10,Foodies,2021-05-05
126,Datatech Solutions,Email,Men 25-34,45 Days,Google Ads,0.02,18169,5.5,Miami,English,259,3941,7,Outdoor Adventurers,2021-05-06
127,Datatech Solutions,Social Media,Men 25-34,45 Days,Email,0.08,13316,6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,2021-05-07
128,Nexgen Systems,Email,All Ages,15 Days,Email,0.08,17847,6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,2021-05-08
129,Alpha Innovations,Email,Men 18-24,45 Days,Instagram,0.06,10639,4.32,New York,Spanish,166,5735,10,Health & Wellness,2021-05-09
130,Innovate Industries,Display,Men 25-34,15 Days,Youtube,0.03,10945,3.16,Chicago,Spanish,508,8054,6,Fashionistas,2021-05-10
131,Nexgen Systems,Email,Men 18-24,15 Days,Instagram,0.11,5167,6.63,New York,Spanish,885,1932,7,Fashionistas,2021-05-11
132,Datatech Solutions,Influencer,Men 25-34,60 Days,Google Ads,0.15,8300,6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,2021-05-12
133,Innovate Industries,Social Media,Men 25-34,15 Days,Instagram,0.14,13469,7.54,Houston,German,857,4028,8,Fashionistas,2021-05-13
134,Techcorp,Search,Men 25-34,30 Days,Facebook,0.1,19254,2.41,Miami,English,481,1876,7,Foodies,2021-05-14
135,Datatech Solutions,Display,All Ages,60 Days,Google Ads,0.04,10704,6.46,Chicago,French,999,7543,8,Tech Enthusiasts,2021-05-15
136,Nexgen Systems,Email,Men 18-24,30 Days,Email,0.15,9229,3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,2021-05-16
137,Alpha Innovations,Social Media,Women 35-44,60 Days,Instagram,0.1,14125,4.9,Houston,Spanish,885,7833,5,Fashionistas,2021-05-17
138,Datatech Solutions,Influencer,All Ages,60 Days,Instagram,0.04,8222,6.17,Houston,Mandarin,666,1435,4,Foodies,2021-05-18
139,Nexgen Systems,Email,Men 18-24,45 Days,Website,0.07,14226,3.77,Chicago,German,359,9440,8,Outdoor Adventurers,2021-05-19
140,Datatech Solutions,Email,Men 18-24,60 Days,Website,0.06,18985,4.61,Miami,English,328,8840,5,Fashionistas,2021-05-20
141,Nexgen Systems,Email,Women 25-34,15 Days,Email,0.08,5599,3.43,Houston,English,571,2404,3,Fashionistas,2021-05-21
142,Innovate Industries,Influencer,All Ages,45 Days,Google Ads,0.08,11952,3.48,Houston,English,845,5702,8,Health & Wellness,2021-05-22
143,Innovate Industries,Display,Women 35-44,15 Days,Facebook,0.05,14503,3.8,Miami,Mandarin,585,9150,3,Tech Enthusiasts,2021-05-23
144,Datatech Solutions,Search,Men 25-34,45 Days,Instagram,0.11,10404,2.41,New York,German,418,3556,2,Tech Enthusiasts,2021-05-24
145,Techcorp,Social Media,Men 18-24,30 Days,Email,0.12,7484,5.86,Houston,English,208,8730,2,Outdoor Adventurers,2021-05-25
146,Techcorp,Search,Men 25-34,60 Days,Google Ads,0.03,7428,4.72,Houston,Mandarin,556,5179,4,Tech Enthusiasts,2021-05-26
147,Techcorp,Influencer,Men 25-34,15 Days,Facebook,0.1,11495,5.13,Los Angeles,French,734,2612,5,Health & Wellness,2021-05-27
148,Techcorp,Influencer,All Ages,30 Days,Facebook,0.13,18957,2.83,Los Angeles,Spanish,643,2939,4,Tech Enthusiasts,2021-05-28
149,Nexgen Systems,Display,Men 18-24,45 Days,Instagram,0.06,10772,2.94,Chicago,English,165,1496,6,Health & Wellness,2021-05-29
150,Techcorp,Search,Women 35-44,60 Days,Instagram,0.14,6896,2.15,Houston,German,693,1290,1,Foodies,2021-05-30
151,Nexgen Systems,Search,Men 18-24,60 Days,Facebook,0.13,13318,2.98,New York,German,261,1415,6,Foodies,2021-05-31
152,Techcorp,Influencer,Women 35-44,60 Days,Website,0.06,7031,5.67,Houston,French,404,8033,6,Tech Enthusiasts,2021-06-01
153,Alpha Innovations,Display,Women 35-44,15 Days,Instagram,0.06,5466,2.66,Houston,English,257,5756,2,Tech Enthusiasts,2021-06-02
154,Innovate Industries,Influencer,All Ages,30 Days,Instagram,0.11,15303,7.41,Chicago,Spanish,901,8712,2,Foodies,2021-06-03
155,Techcorp,Social Media,Women 35-44,30 Days,Instagram,0.13,13157,4.41,New York,German,724,9573,6,Fashionistas,2021-06-04
156,Innovate Industries,Influencer,All Ages,15 Days,Instagram,0.07,13197,3.31,Los Angeles,French,672,8765,9,Tech Enthusiasts,2021-06-05
157,Alpha Innovations,Display,Men 25-34,30 Days,Facebook,0.09,19723,4.74,Houston,Mandarin,148,2746,8,Outdoor Adventurers,2021-06-06
158,Nexgen Systems,Display,Men 18-24,60 Days,Google Ads,0.12,18903,7.24,Miami,French,488,4253,1,Tech Enthusiasts,2021-06-07
159,Alpha Innovations,Display,Women 35-44,60 Days,Website,0.06,17737,4.23,Houston,Spanish,420,8196,4,Foodies,2021-06-08
160,Datatech Solutions,Social Media,Women 25-34,30 Days,Instagram,0.08,16981,5.74,Miami,French,395,7469,6,Foodies,2021-06-09
161,Techcorp,Search,All Ages,45 Days,Website,0.05,15993,6.55,Miami,English,616,9536,8,Fashionistas,2021-06-10
162,Datatech Solutions,Social Media,Men 18-24,30 Days,Youtube,0.07,7893,5.28,Chicago,German,170,6306,9,Foodies,2021-06-11
163,Techcorp,Email,Women 25-34,15 Days,Google Ads,0.04,9858,3.09,Los Angeles,Spanish,957,4396,9,Tech Enthusiasts,2021-06-12
164,Nexgen Systems,Influencer,Women 35-44,30 Days,Email,0.09,6885,7.65,Houston,Spanish,872,3269,1,Tech Enthusiasts,2021-06-13
165,Techcorp,Email,Men 25-34,30 Days,Email,0.07,11587,3.17,Houston,English,716,2676,9,Foodies,2021-06-14
166,Nexgen Systems,Email,All Ages,30 Days,Facebook,0.15,5202,5.94,New York,German,998,5108,3,Fashionistas,2021-06-15
167,Innovate Industries,Search,Men 18-24,15 Days,Instagram,0.08,15651,7.24,Los Angeles,English,481,4165,7,Tech Enthusiasts,2021-06-16
168,Nexgen Systems,Display,All Ages,30 Days,Website,0.12,11879,8.0,New York,Spanish,568,4997,6,Outdoor Adventurers,2021-06-17
169,Techcorp,Influencer,Women 25-34,60 Days,Email,0.03,12183,4.36,Los Angeles,English,421,6087,10,Tech Enthusiasts,2021-06-18
170,Techcorp,Search,All Ages,30 Days,Google Ads,0.07,10690,5.41,Los Angeles,English,797,1306,9,Foodies,2021-06-19
171,Techcorp,Social Media,Men 25-34,30 Days,Website,0.06,12886,4.62,Miami,Mandarin,668,2507,8,Foodies,2021-06-20
172,Innovate Industries,Influencer,Men 25-34,15 Days,Google Ads,0.09,10854,6.1,Houston,English,303,9453,2,Health & Wellness,2021-06-21
173,Datatech Solutions,Influencer,All Ages,15 Days,Youtube,0.11,7170,3.76,Los Angeles,German,540,6422,8,Foodies,2021-06-22
174,Innovate Industries,Display,Men 25-34,45 Days,Google Ads,0.15,17414,6.9,Los Angeles,French,801,8439,5,Foodies,2021-06-23
175,Innovate Industries,Search,Men 18-24,15 Days,Instagram,0.1,12272,5.29,Los Angeles,French,436,7817,7,Outdoor Adventurers,2021-06-24
176,Innovate Industries,Social Media,All Ages,15 Days,Website,0.09,6489,2.22,Chicago,English,683,9143,6,Foodies,2021-06-25
177,Innovate Industries,Display,Women 35-44,60 Days,Youtube,0.08,19732,6.06,Chicago,English,862,6773,1,Tech Enthusiasts,2021-06-26
178,Alpha Innovations,Social Media,All Ages,45 Days,Youtube,0.09,17837,3.84,Houston,English,944,9536,6,Foodies,2021-06-27
179,Innovate Industries,Display,All Ages,45 Days,Email,0.13,11954,4.91,Miami,Mandarin,241,9184,8,Foodies,2021-06-28
180,Alpha Innovations,Display,Women 35-44,30 Days,Google Ads,0.01,16862,6.29,Chicago,Spanish,200,1513,9,Tech Enthusiasts,2021-06-29
181,Techcorp,Display,All Ages,45 Days,Email,0.07,8076,4.29,New York,Mandarin,883,3400,8,Fashionistas,2021-06-30
182,Datatech Solutions,Influencer,Women 35-44,15 Days,Facebook,0.06,19143,2.58,Los Angeles,Spanish,690,1087,7,Tech Enthusiasts,2021-07-01
183,Techcorp,Influencer,Women 35-44,15 Days,Instagram,0.06,18350,3.2,New York,Spanish,372,3266,4,Health & Wellness,2021-07-02
184,Datatech Solutions,Social Media,Men 18-24,45 Days,Email,0.06,12315,3.97,Chicago,Spanish,505,4099,7,Fashionistas,2021-07-03
185,Nexgen Systems,Influencer,Men 25-34,15 Days,Instagram,0.14,17598,7.27,Chicago,Mandarin,961,8475,7,Outdoor Adventurers,2021-07-04
186,Techcorp,Email,Women 35-44,30 Days,Instagram,0.05,19545,2.57,Houston,German,209,1917,1,Health & Wellness,2021-07-05
187,Nexgen Systems,Email,Men 25-34,60 Days,Email,0.13,14231,6.28,Chicago,Mandarin,312,8509,3,Health & Wellness,2021-07-06
188,Alpha Innovations,Influencer,Women 25-34,30 Days,Instagram,0.11,15162,7.8,Chicago,German,360,6030,8,Tech Enthusiasts,2021-07-07
189,Datatech Solutions,Social Media,Women 25-34,15 Days,Email,0.12,15403,6.21,Houston,English,542,6792,6,Foodies,2021-07-08
190,Innovate Industries,Influencer,All Ages,15 Days,Email,0.06,5363,5.46,Chicago,German,369,8511,8,Tech Enthusiasts,2021-07-09
191,Datatech Solutions,Social Media,Women 35-44,60 Days,Website,0.12,13903,2.46,Chicago,German,461,9733,9,Tech Enthusiasts,2021-07-10
192,Techcorp,Influencer,Men 25-34,45 Days,Facebook,0.12,14271,5.64,New York,Mandarin,842,2301,1,Health & Wellness,2021-07-11
193,Datatech Solutions,Social Media,Men 25-34,30 Days,Google Ads,0.05,13744,4.7,Miami,German,743,5155,5,Fashionistas,2021-07-12
194,Nexgen Systems,Email,All Ages,15 Days,Google Ads,0.1,6093,4.28,New York,Mandarin,423,1340,7,Foodies,2021-07-13
